,Local_Authority_District_code__2019_,Local_Authority_District_name__2019_,Index_of_Multiple_Deprivation__IMD__Score,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived_,Index_of_Multiple_Deprivation__IMD__Score_1,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived__1,Index_of_Multiple_Deprivation__IMD__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Score__rate_,Income_Rank__where_1_is_most_deprived_,Income_Decile__where_1_is_most_deprived_10__of_LSOAs_,Employment_Score__rate_,Employment_Rank__where_1_is_most_deprived_,Employment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Education__Skills_and_Training_Score,Education__Skills_and_Training_Rank__where_1_is_most_deprived_,Education__Skills_and_Training_Decile__where_1_is_most_deprived_10__of_LSOAs_,Health_Deprivation_and_Disability_Score,Health_Deprivation_and_Disability_Rank__where_1_is_most_deprived_,Health_Deprivation_and_Disability_Decile__where_1_is_most_deprived_10__of_LSOAs_,Crime_Score,Crime_Rank__where_1_is_most_deprived_,Crime_Decile__where_1_is_most_deprived_10__of_LSOAs_,Barriers_to_Housing_and_Services_Score,Barriers_to_Housing_and_Services_Rank__where_1_is_most_deprived_,Barriers_to_Housing_and_Services_Decile__where_1_is_most_deprived_10__of_LSOAs_,Living_Environment_Score,Living_Environment_Rank__where_1_is_most_deprived_,Living_Environment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Children_Index__IDACI__Score__rate_,Income_Deprivation_Affecting_Children_Index__IDACI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Children_Index__IDACI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Older_People__IDAOPI__Score__rate_,Income_Deprivation_Affecting_Older_People__IDAOPI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Older_People__IDAOPI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Children_and_Young_People_Sub_domain_Score,Children_and_Young_People_Sub_domain_Rank__where_1_is_most_deprived_,Children_and_Young_People_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Adult_Skills_Sub_domain_Score,Adult_Skills_Sub_domain_Rank__where_1_is_most_deprived_,Adult_Skills_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Geographical_Barriers_Sub_domain_Score,Geographical_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Geographical_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Wider_Barriers_Sub_domain_Score,Wider_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Wider_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Indoors_Sub_domain_Score,Indoors_Sub_domain_Rank__where_1_is_most_deprived_,Indoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Outdoors_Sub_domain_Score,Outdoors_Sub_domain_Rank__where_1_is_most_deprived_,Outdoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Total_population__mid_2015__excluding_prisoners_,Dependent_Children_aged_0_15__mid_2015__excluding_prisoners_,Population_aged_16_59__mid_2015__excluding_prisoners_,Older_population_aged_60_and_over__mid_2015__excluding_prisoners_,Working_age_population_18_59_64__for_use_with_Employment_Deprivation_Domain__excluding_prisoners__,longitude,latitude,lng,lat
176,E06000016,Leicester,12.917,21145,12.917,21145,7,0.07,21444,7,0.056,22857,7,11.459,20460,7,0.21,12931,4,0.737,6100,2,13.051,25333,8,9.256,24826,8,0.097,19878,7,0.111,18489,6,-0.285,20744,7,0.275,18877,6,0.077,14319,5,-1.558,23704,8,-1.241,30499,10,0.274,11087,4,1520,301,1003,216,1004,-1.15725941431731,52.67830469005258,-1.17888058182534,52.6870048114993
176,E06000016,Leicester,12.917,21145,12.917,21145,7,0.07,21444,7,0.056,22857,7,11.459,20460,7,0.21,12931,4,0.737,6100,2,13.051,25333,8,9.256,24826,8,0.097,19878,7,0.111,18489,6,-0.285,20744,7,0.275,18877,6,0.077,14319,5,-1.558,23704,8,-1.241,30499,10,0.274,11087,4,1520,301,1003,216,1004,-1.15725941431731,52.67830469005258,-1.16403772860992,52.6870048114993
176,E06000016,Leicester,12.917,21145,12.917,21145,7,0.07,21444,7,0.056,22857,7,11.459,20460,7,0.21,12931,4,0.737,6100,2,13.051,25333,8,9.256,24826,8,0.097,19878,7,0.111,18489,6,-0.285,20744,7,0.275,18877,6,0.077,14319,5,-1.558,23704,8,-1.241,30499,10,0.274,11087,4,1520,301,1003,216,1004,-1.15725941431731,52.67830469005258,-1.13435202217908,52.6870048114993
176,E06000016,Leicester,12.917,21145,12.917,21145,7,0.07,21444,7,0.056,22857,7,11.459,20460,7,0.21,12931,4,0.737,6100,2,13.051,25333,8,9.256,24826,8,0.097,19878,7,0.111,18489,6,-0.285,20744,7,0.275,18877,6,0.077,14319,5,-1.558,23704,8,-1.241,30499,10,0.274,11087,4,1520,301,1003,216,1004,-1.15725941431731,52.67830469005258,-1.1491948753945,52.6870048114993
88,E06000016,Leicester,27.035,9568,27.035,9568,3,0.179,8074,3,0.148,6741,3,24.051,11315,4,0.542,8604,3,0.565,8189,3,17.051,20380,7,12.123,21872,7,0.208,9541,3,0.195,10355,4,0.01,15928,5,0.384,7931,3,0.026,15226,5,-0.084,15626,5,-0.625,25476,8,0.292,10864,4,1575,296,971,308,994,-1.171282200228854,52.67160519568661,-1.17888822478133,52.6780066099478
2,E06000016,Leicester,47.497,2570,47.497,2570,1,0.301,2160,1,0.185,3971,2,55.034,2396,1,1.049,3878,2,1.611,768,1,14.473,23691,8,23.781,12578,4,0.401,1449,1,0.301,4672,2,1.163,2612,1,0.484,2610,1,-0.872,28685,9,1.04,10374,4,0.194,13390,5,0.516,8245,3,1911,496,1135,280,1134,-1.139418313841044,52.66667919455223,-1.13436883668226,52.6780066099478
176,E06000016,Leicester,12.917,21145,12.917,21145,7,0.07,21444,7,0.056,22857,7,11.459,20460,7,0.21,12931,4,0.737,6100,2,13.051,25333,8,9.256,24826,8,0.097,19878,7,0.111,18489,6,-0.285,20744,7,0.275,18877,6,0.077,14319,5,-1.558,23704,8,-1.241,30499,10,0.274,11087,4,1520,301,1003,216,1004,-1.15725941431731,52.67830469005258,-1.16404842874831,52.6780066099478
176,E06000016,Leicester,12.917,21145,12.917,21145,7,0.07,21444,7,0.056,22857,7,11.459,20460,7,0.21,12931,4,0.737,6100,2,13.051,25333,8,9.256,24826,8,0.097,19878,7,0.111,18489,6,-0.285,20744,7,0.275,18877,6,0.077,14319,5,-1.558,23704,8,-1.241,30499,10,0.274,11087,4,1520,301,1003,216,1004,-1.15725941431731,52.67830469005258,-1.14920863271528,52.6780066099478
88,E06000016,Leicester,27.035,9568,27.035,9568,3,0.179,8074,3,0.148,6741,3,24.051,11315,4,0.542,8604,3,0.565,8189,3,17.051,20380,7,12.123,21872,7,0.208,9541,3,0.195,10355,4,0.01,15928,5,0.384,7931,3,0.026,15226,5,-0.084,15626,5,-0.625,25476,8,0.292,10864,4,1575,296,971,308,994,-1.171282200228854,52.67160519568661,-1.17889586367488,52.6690084083963
2,E06000016,Leicester,47.497,2570,47.497,2570,1,0.301,2160,1,0.185,3971,2,55.034,2396,1,1.049,3878,2,1.611,768,1,14.473,23691,8,23.781,12578,4,0.401,1449,1,0.301,4672,2,1.163,2612,1,0.484,2610,1,-0.872,28685,9,1.04,10374,4,0.194,13390,5,0.516,8245,3,1911,496,1135,280,1134,-1.139418313841044,52.66667919455223,-1.13438564224807,52.6690084083963
