,District_x,Description_x,GridName_x,lng,lat,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,District_y,Description_y,GridName_y,Anti_social_behaviour_250,Criminal_damage_and_arson_250,Drugs_250,Other_theft_250,Public_order_250,Vehicle_crime_250,Violence_and_sexual_offences_250,Theft_from_the_person_250,Burglary_250,Shoplifting_250,Possession_of_weapons_250,Other_crime_250,Robbery_250,Bicycle_theft_250,Anti_social_behaviour_500,Criminal_damage_and_arson_500,Drugs_500,Other_theft_500,Public_order_500,Vehicle_crime_500,Violence_and_sexual_offences_500,Theft_from_the_person_500,Burglary_500,Shoplifting_500,Possession_of_weapons_500,Other_crime_500,Robbery_500,Bicycle_theft_500,Anti_social_behaviour_750,Criminal_damage_and_arson_750,Drugs_750,Other_theft_750,Public_order_750,Vehicle_crime_750,Violence_and_sexual_offences_750,Theft_from_the_person_750,Burglary_750,Shoplifting_750,Possession_of_weapons_750,Other_crime_750,Robbery_750,Bicycle_theft_750,Local_Authority_District_code__2019_,Local_Authority_District_name__2019_,Index_of_Multiple_Deprivation__IMD__Score,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived_,Index_of_Multiple_Deprivation__IMD__Score_1,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived__1,Index_of_Multiple_Deprivation__IMD__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Score__rate_,Income_Rank__where_1_is_most_deprived_,Income_Decile__where_1_is_most_deprived_10__of_LSOAs_,Employment_Score__rate_,Employment_Rank__where_1_is_most_deprived_,Employment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Education__Skills_and_Training_Score,Education__Skills_and_Training_Rank__where_1_is_most_deprived_,Education__Skills_and_Training_Decile__where_1_is_most_deprived_10__of_LSOAs_,Health_Deprivation_and_Disability_Score,Health_Deprivation_and_Disability_Rank__where_1_is_most_deprived_,Health_Deprivation_and_Disability_Decile__where_1_is_most_deprived_10__of_LSOAs_,Crime_Score,Crime_Rank__where_1_is_most_deprived_,Crime_Decile__where_1_is_most_deprived_10__of_LSOAs_,Barriers_to_Housing_and_Services_Score,Barriers_to_Housing_and_Services_Rank__where_1_is_most_deprived_,Barriers_to_Housing_and_Services_Decile__where_1_is_most_deprived_10__of_LSOAs_,Living_Environment_Score,Living_Environment_Rank__where_1_is_most_deprived_,Living_Environment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Children_Index__IDACI__Score__rate_,Income_Deprivation_Affecting_Children_Index__IDACI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Children_Index__IDACI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Older_People__IDAOPI__Score__rate_,Income_Deprivation_Affecting_Older_People__IDAOPI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Older_People__IDAOPI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Children_and_Young_People_Sub_domain_Score,Children_and_Young_People_Sub_domain_Rank__where_1_is_most_deprived_,Children_and_Young_People_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Adult_Skills_Sub_domain_Score,Adult_Skills_Sub_domain_Rank__where_1_is_most_deprived_,Adult_Skills_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Geographical_Barriers_Sub_domain_Score,Geographical_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Geographical_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Wider_Barriers_Sub_domain_Score,Wider_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Wider_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Indoors_Sub_domain_Score,Indoors_Sub_domain_Rank__where_1_is_most_deprived_,Indoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Outdoors_Sub_domain_Score,Outdoors_Sub_domain_Rank__where_1_is_most_deprived_,Outdoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Total_population__mid_2015__excluding_prisoners_,Dependent_Children_aged_0_15__mid_2015__excluding_prisoners_,Population_aged_16_59__mid_2015__excluding_prisoners_,Older_population_aged_60_and_over__mid_2015__excluding_prisoners_,Working_age_population_18_59_64__for_use_with_Employment_Deprivation_Domain__excluding_prisoners__,longitude,latitude
0,Croydon London Boro,London Borough,Grid5_0,-0.122226000296422,51.420994839694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid5_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,E09000008,Croydon,13.37,20660,13.37,20660,7,0.089,18098,6,0.05,24770,8,5.828,26355,9,-0.805,27056,9,0.335,11415,4,30.8,6416,2,24.05,12378,4,0.12,17063,6,0.13,16192,5,-0.685,26333,9,0.226,24493,8,0.121,13577,5,2.734,5000,2,0.09,15037,5,0.726,6257,2,1648,291,937,420,951,-0.116362043945986,51.415242669843686
1,Croydon London Boro,London Borough,Grid6_0,-0.115011554294947,51.420994839694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid6_0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E09000008,Croydon,13.991,19960,13.991,19960,7,0.066,22264,7,0.048,25295,8,4.058,28468,9,-0.518,23665,8,0.442,9879,4,29.135,7548,3,36.611,5534,2,0.066,24569,8,0.115,18002,6,-0.912,28656,9,0.209,26319,9,0.057,14676,5,2.565,5389,2,0.606,7870,3,1.005,4082,2,1878,315,1102,461,1129,-0.111391691625472,51.41830607682336
2,Croydon London Boro,London Borough,Grid7_0,-0.107797108293472,51.420994839694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid7_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,E09000008,Croydon,16.31,17644,16.31,17644,6,0.09,17867,6,0.068,19193,6,7.185,24833,8,-0.625,25019,8,0.43,10035,4,25.545,10622,4,38.527,4792,2,0.149,14126,5,0.11,18683,6,-0.41,22635,7,0.219,25272,8,-0.822,28209,9,3.294,3764,2,0.658,7222,3,1.064,3705,2,2066,393,1336,337,1317,-0.10317636139548,51.420701877475445
3,Croydon London Boro,London Borough,Grid8_0,-0.100582662291996,51.420994839694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid8_0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,1,1,1,4,0,1,0,1,0,0,0,E09000008,Croydon,16.31,17644,16.31,17644,6,0.09,17867,6,0.068,19193,6,7.185,24833,8,-0.625,25019,8,0.43,10035,4,25.545,10622,4,38.527,4792,2,0.149,14126,5,0.11,18683,6,-0.41,22635,7,0.219,25272,8,-0.822,28209,9,3.294,3764,2,0.658,7222,3,1.064,3705,2,2066,393,1336,337,1317,-0.10317636139548,51.420701877475445
4,Croydon London Boro,London Borough,Grid11_0,-0.0789393242875712,51.420994839694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Croydon London Boro,London Borough,Grid11_0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,1,3,0,0,0,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,E09000008,Croydon,20.492,13940,20.492,13940,5,0.133,12256,4,0.087,14782,5,8.536,23370,8,-0.419,22368,7,0.415,10231,4,33.903,4612,2,30.175,8708,3,0.231,8045,3,0.194,10414,4,-0.148,18556,6,0.198,27331,9,-0.404,22589,7,4.212,2093,1,0.27,12297,4,1.017,4013,2,2184,368,1610,206,1592,-0.084695500876614,51.41856396876272
5,Croydon London Boro,London Borough,Grid10_0,-0.0861537702890463,51.420994839694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,1,3,1,1,1,0,0,0,0,7,0,1,1,3,1,8,0,0,2,0,0,0,0,E09000008,Croydon,20.492,13940,20.492,13940,5,0.133,12256,4,0.087,14782,5,8.536,23370,8,-0.419,22368,7,0.415,10231,4,33.903,4612,2,30.175,8708,3,0.231,8045,3,0.194,10414,4,-0.148,18556,6,0.198,27331,9,-0.404,22589,7,4.212,2093,1,0.27,12297,4,1.017,4013,2,2184,368,1610,206,1592,-0.084695500876614,51.41856396876272
6,Croydon London Boro,London Borough,Grid9_0,-0.0933682162905214,51.420994839694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid9_0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,1,1,0,0,0,0,0,0,E09000008,Croydon,28.352,8850,28.352,8850,3,0.171,8681,3,0.127,8869,3,16.265,16356,5,0.048,15275,5,0.629,7341,3,37.681,2947,1,28.83,9485,3,0.204,9835,3,0.211,9216,3,0.204,12823,4,0.266,19879,7,0.029,15166,5,4.116,2251,1,0.219,13042,4,0.978,4295,2,1849,413,1191,245,1165,-0.092454963013712,51.419655383788005
7,Croydon London Boro,London Borough,Grid5_1,-0.122229905497771,51.4164957389183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Croydon London Boro,London Borough,Grid5_1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,1,6,0,0,0,0,1,1,0,1,1,0,9,0,1,0,0,0,0,0,E09000008,Croydon,13.37,20660,13.37,20660,7,0.089,18098,6,0.05,24770,8,5.828,26355,9,-0.805,27056,9,0.335,11415,4,30.8,6416,2,24.05,12378,4,0.12,17063,6,0.13,16192,5,-0.685,26333,9,0.226,24493,8,0.121,13577,5,2.734,5000,2,0.09,15037,5,0.726,6257,2,1648,291,937,420,951,-0.116362043945986,51.415242669843686
8,Croydon London Boro,London Borough,Grid6_1,-0.115016169532905,51.4164957389183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,E09000008,Croydon,13.37,20660,13.37,20660,7,0.089,18098,6,0.05,24770,8,5.828,26355,9,-0.805,27056,9,0.335,11415,4,30.8,6416,2,24.05,12378,4,0.12,17063,6,0.13,16192,5,-0.685,26333,9,0.226,24493,8,0.121,13577,5,2.734,5000,2,0.09,15037,5,0.726,6257,2,1648,291,937,420,951,-0.116362043945986,51.415242669843686
9,Croydon London Boro,London Borough,Grid7_1,-0.107802433568039,51.4164957389183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croydon London Boro,London Borough,Grid7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,4,0,1,0,1,0,0,0,1,3,1,0,1,6,3,0,0,0,0,0,0,0,E09000008,Croydon,13.991,19960,13.991,19960,7,0.066,22264,7,0.048,25295,8,4.058,28468,9,-0.518,23665,8,0.442,9879,4,29.135,7548,3,36.611,5534,2,0.066,24569,8,0.115,18002,6,-0.912,28656,9,0.209,26319,9,0.057,14676,5,2.565,5389,2,0.606,7870,3,1.005,4082,2,1878,315,1102,461,1129,-0.111391691625472,51.41830607682336
