,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,lng,lat
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122226000296422,51.420994839694
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115011554294947,51.420994839694
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107797108293472,51.420994839694
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100582662291996,51.420994839694
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.0789393242875712,51.420994839694
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0861537702890463,51.420994839694
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0933682162905214,51.420994839694
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.122229905497771,51.4164957389183
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115016169532905,51.4164957389183
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107802433568039,51.4164957389183
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861612256734404,51.4164957389183
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0789474897085743,51.4164957389183
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100588697603173,51.4164957389183
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0933749616383065,51.4164957389183
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.12944683579839,51.4119966381425
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122233809685913,51.4119966381425
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10780775746096,51.4119966381425
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.115020783573437,51.4119966381425
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100594731348483,51.4119966381425
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0933817052360068,51.4119966381425
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861686791235302,51.4119966381425
21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.071742626898577,51.4119966381425
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0789556530110537,51.4119966381425
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.129450029305439,51.4074975373668
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107813079972709,51.4074975373668
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.122237712861196,51.4074975373668
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.115025396416952,51.4074975373668
