,lng,lat,MinMax_PCA_Crime_Labels,Robust_PCA_Crime_Labels,MinMax_PCA_Crimeless_Labels,Robust_PCA_Crimeless_Labels,MinMax_Non_PCA_Crime_Labels,Robust__Non_PCA_Crime_Labels,MinMax_Non_PCA_Crimeless_Labels,Robust__Non_PCA_Crimeless_Labels
0,-0.0915992011195958,51.3973745606213,2,1,1,2,1,1,0,2
1,-0.087993752289599,51.3973745606213,2,1,0,2,1,1,1,2
2,-0.116852849817428,51.3816277079061,2,1,1,2,1,1,0,2
3,-0.0663939339118684,51.3816277079061,0,1,2,1,0,1,2,1
4,-0.0627897256328999,51.3816277079061,0,1,2,1,0,1,2,1
5,-0.120448907489735,51.3906259094577,2,1,0,0,1,1,1,2
6,-0.116841774905466,51.3928754598455,2,1,0,0,1,1,1,2
7,-0.0952276001436166,51.3816277079061,2,1,0,0,1,1,1,0
8,-0.0988349081918215,51.3793781575183,2,1,0,0,1,1,1,0
9,-0.0988380075591807,51.3771286071304,2,1,0,0,1,1,1,2
10,-0.113265373783784,51.365880855191,2,1,0,0,1,1,1,2
11,-0.0952407051904866,51.3726295063546,2,1,1,2,1,1,0,0
12,-0.116832909803888,51.4018736613971,2,1,0,0,1,1,1,2
13,-0.11324146592615,51.3883763590698,2,1,1,2,1,1,0,2
14,-0.106037479114618,51.383877258294,2,1,0,0,1,1,1,0
15,-0.109634156407614,51.3906259094577,2,1,1,2,1,1,0,2
16,-0.116846205731957,51.3883763590698,2,1,0,0,1,1,1,2
17,-0.124046378797528,51.3996241110092,1,1,0,0,2,1,1,2
18,-0.131269682933302,51.3816277079061,1,1,1,2,2,1,0,2
19,-0.124059406272656,51.383877258294,1,1,1,2,2,1,0,2
20,-0.124061266375365,51.3816277079061,1,1,1,2,2,1,0,2
21,-0.0988473032506837,51.3703799559667,2,1,0,0,1,1,1,2
22,-0.120459095087609,51.3793781575183,1,1,1,2,2,1,0,2
23,-0.113253423729547,51.3771286071304,2,1,1,2,1,1,0,0
24,-0.0952505295168388,51.365880855191,2,1,0,0,1,1,1,0
25,-0.0988596918839135,51.3613817544152,2,1,0,0,1,1,1,2
26,-0.106018248079907,51.3996241110092,2,1,1,2,1,1,0,2
27,-0.102412621936382,51.3996241110092,2,1,1,2,1,1,0,2
28,-0.087968297894144,51.4131214133365,1,1,0,0,2,1,1,2
29,-0.113260594691564,51.3703799559667,2,1,0,0,1,1,1,0
30,-0.113262984392551,51.3681304055789,2,1,0,0,1,1,1,0
31,-0.0771649035743372,51.404123211785,1,1,0,0,2,1,1,2
32,-0.0807828546296053,51.3973745606213,1,1,1,2,2,1,0,2
33,-0.113239073434988,51.3906259094577,2,1,0,0,1,1,1,2
34,-0.1024477049866,51.3726295063546,2,1,1,2,1,1,0,2
35,-0.102462306822235,51.3613817544152,2,1,0,0,1,1,1,2
36,-0.102456467223617,51.365880855191,2,1,0,0,1,1,1,0
37,-0.0735676127881872,51.3996241110092,1,1,1,2,2,1,0,2
38,-0.0988318084225851,51.3816277079061,2,1,1,2,1,1,0,0
39,-0.0988038924036291,51.4018736613971,2,1,1,2,1,1,0,2
40,-0.0988007886118344,51.404123211785,1,1,1,2,2,1,0,2
41,-0.0843806784834221,51.4018736613971,1,1,0,0,2,1,1,2
42,-0.0988100987795895,51.3973745606213,2,1,1,2,1,1,0,2
43,-0.0952046499495927,51.3973745606213,2,1,1,2,1,1,0,2
44,-0.0916302994739975,51.3771286071304,2,1,0,0,1,1,1,0
45,-0.0988256076782059,51.3861268086819,2,1,1,2,1,1,0,2
46,-0.120430553157794,51.4108718629486,1,1,0,0,2,1,1,2
47,-0.102438939341119,51.3793781575183,2,1,1,2,1,1,0,2
48,-0.0952013696493334,51.3996241110092,2,1,1,2,1,1,0,2
49,-0.102471063382367,51.3546331032516,1,1,0,0,2,1,1,2
50,-0.0844073572493308,51.3861268086819,2,1,0,0,1,1,1,2
51,-0.0951915261952829,51.4063727621728,1,1,0,0,2,1,1,2
52,-0.0591754189987995,51.3861268086819,1,1,1,2,2,1,0,2
53,-0.0627848539353278,51.383877258294,1,1,1,2,2,1,0,2
54,-0.106023744442824,51.3951250102334,2,1,0,0,1,1,1,2
55,-0.109629015982289,51.3951250102334,2,1,0,0,1,1,1,2
56,-0.084369237309582,51.4086223125607,1,1,0,0,2,1,1,2
57,-0.0771565660542376,51.4086223125607,1,1,0,0,2,1,1,2
58,-0.0627653608265829,51.3928754598455,1,1,0,0,2,1,1,2
59,-0.0591552144297761,51.3951250102334,1,1,0,0,2,1,1,2
60,-0.0663704550985084,51.3928754598455,1,1,0,0,2,1,1,2
61,-0.0663892393669353,51.383877258294,0,1,2,1,0,1,2,1
62,-0.0699981421908369,51.3816277079061,0,1,0,0,0,1,1,1
63,-0.124051963449317,51.3928754598455,1,1,0,0,2,1,1,2
64,-0.0591653180243801,51.3906259094577,0,1,0,0,0,1,1,1
65,-0.116881611012659,51.3523835528637,1,1,0,0,2,1,1,2
66,-0.109677796245959,51.3523835528637,1,1,0,0,2,1,1,1
67,-0.113279703629309,51.3523835528637,1,1,0,0,2,1,1,2
68,-0.113282090853745,51.3501340024758,1,1,0,0,2,1,1,2
69,-0.109680360301835,51.3501340024758,1,1,0,0,2,1,1,2
70,-0.109675231857781,51.3546331032516,1,1,0,0,2,1,1,2
71,-0.113277316095489,51.3546331032516,1,1,0,0,2,1,1,2
72,-0.0843844912187603,51.3996241110092,1,1,1,2,2,1,0,2
73,-0.131251600469321,51.4086223125607,0,1,0,0,0,1,1,2
74,-0.131256123724095,51.4018736613971,0,1,0,0,0,1,1,1
75,-0.109670102084298,51.3591322040273,1,1,1,2,2,1,0,2
76,-0.124057545928737,51.3861268086819,1,1,0,0,2,1,1,1
77,-0.134868575599231,51.3906259094577,1,1,0,0,2,1,1,1
78,-0.0916579120083538,51.3591322040273,1,1,0,0,2,1,1,2
79,-0.124053824517109,51.3906259094577,1,1,1,2,2,1,0,2
80,-0.124048240589567,51.3973745606213,0,1,0,0,0,1,1,1
81,-0.127653689419564,51.3973745606213,0,1,0,0,0,1,1,1
82,-0.102409695883681,51.4018736613971,1,1,1,2,2,1,0,2
83,-0.102406769451417,51.404123211785,1,1,1,2,2,1,0,2
