,District,Description,POLYGON_ID,GridName,lng,lat,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,hospital_1000,train_station_1000,bus_station_1000,park_1000,place_of_worship_1000,hospital_1500,train_station_1500,bus_station_1500,park_1500,place_of_worship_1500
0,City of Leicester (B),Unitary Authority,97712,Grid2_0,-1.17888058182534,52.6870048114993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,City of Leicester (B),Unitary Authority,97712,Grid3_0,-1.16403772860992,52.6870048114993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,City of Leicester (B),Unitary Authority,97712,Grid5_0,-1.13435202217908,52.6870048114993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,City of Leicester (B),Unitary Authority,97712,Grid4_0,-1.1491948753945,52.6870048114993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,City of Leicester (B),Unitary Authority,97712,Grid2_1,-1.17888822478133,52.6780066099478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,City of Leicester (B),Unitary Authority,97712,Grid5_1,-1.13436883668226,52.6780066099478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,City of Leicester (B),Unitary Authority,97712,Grid3_1,-1.16404842874831,52.6780066099478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,City of Leicester (B),Unitary Authority,97712,Grid4_1,-1.14920863271528,52.6780066099478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,City of Leicester (B),Unitary Authority,97712,Grid2_2,-1.17889586367488,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,City of Leicester (B),Unitary Authority,97712,Grid5_2,-1.13438564224807,52.6690084083963,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10,City of Leicester (B),Unitary Authority,97712,Grid3_2,-1.16405912319928,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,City of Leicester (B),Unitary Authority,97712,Grid6_2,-1.11954890177246,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,City of Leicester (B),Unitary Authority,97712,Grid4_2,-1.14922238272367,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,City of Leicester (B),Unitary Authority,97712,Grid7_2,-1.10471216129686,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,City of Leicester (B),Unitary Authority,97712,Grid8_2,-1.08987542082125,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,City of Leicester (B),Unitary Authority,97712,Grid9_2,-1.07503868034565,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,City of Leicester (B),Unitary Authority,97712,Grid10_2,-1.06020193987004,52.6690084083963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,City of Leicester (B),Unitary Authority,97712,Grid2_3,-1.17890349850888,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,City of Leicester (B),Unitary Authority,97712,Grid4_3,-1.14923612542486,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,City of Leicester (B),Unitary Authority,97712,Grid5_3,-1.13440243888285,52.6600102068448,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0
20,City of Leicester (B),Unitary Authority,97712,Grid3_3,-1.16406981196687,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,City of Leicester (B),Unitary Authority,97712,Grid7_3,-1.10473506579884,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,City of Leicester (B),Unitary Authority,97712,Grid9_3,-1.07506769271482,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,City of Leicester (B),Unitary Authority,97712,Grid8_3,-1.08990137925683,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,City of Leicester (B),Unitary Authority,97712,Grid10_3,-1.06023400617281,52.6600102068448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,City of Leicester (B),Unitary Authority,97712,Grid6_3,-1.11956875234085,52.6600102068448,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0
26,City of Leicester (B),Unitary Authority,97712,Grid1_4,-1.19374176351728,52.6510120052932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,City of Leicester (B),Unitary Authority,97712,Grid2_4,-1.1789111292862,52.6510120052932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,City of Leicester (B),Unitary Authority,97712,Grid3_4,-1.16408049505512,52.6510120052932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,City of Leicester (B),Unitary Authority,97712,Grid5_4,-1.13441922659296,52.6510120052932,0,0,0,2,0,0,0,0,6,0,1,0,14,9,4
30,City of Leicester (B),Unitary Authority,97712,Grid6_4,-1.11958859236188,52.6510120052932,2,0,0,1,0,2,0,0,4,0,2,0,1,8,1
31,City of Leicester (B),Unitary Authority,97712,Grid7_4,-1.1047579581308,52.6510120052932,0,0,0,0,0,0,0,2,3,0,0,0,3,5,0
32,City of Leicester (B),Unitary Authority,97712,Grid9_4,-1.07509668966864,52.6510120052932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,City of Leicester (B),Unitary Authority,97712,Grid8_4,-1.08992732389972,52.6510120052932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
